id_g,arc_label,arc_feat
0,18.7161425,9
0,72.31691676,9
0,0.097745036,3
0,1.402549142,3
0,0.026062799,1
0,8.134470655,8
0,23.31722157,7
0,59.72655736,8
0,0.076586232,1
0,19.78487614,9
0,108.9611546,8
0,19.24727158,9
0,33.34055418,9
0,68.88234151,8
0,100.503908,8
0,3.074261188,4
0,60.98612871,8
0,111.3114758,8
0,45.0201334,8
0,72.57296174,8
0,94.88689054,9
0,41.37695462,7
0,0.243259501,3
0,25.87358873,9
0,1.13430897,3
0,0.328563795,5
0,68.8351764,9
0,22.22416212,8
0,137.6717093,9
0,45.73195506,8
0,4.368671414,6
0,0.563545486,2
0,9.933885436,7
0,3.920442243,5
0,126.0116256,9
0,147.1891055,7
0,81.3846332,6
0,50.0454306,7
0,81.89970846,7
0,0,0
0,28.56419372,9
0,58.02125217,7
0,106.6596303,9
0,67.70024286,6
0,0.953854494,2
1,18.73403415,9
1,62.26128698,9
1,0.0293391,1
1,13.16739693,8
1,33.79877054,7
1,52.899691,8
1,27.25825675,9
1,95.78820563,8
1,0,0
1,16.75809729,6
1,19.54050669,9
1,30.66844202,9
1,54.0542937,8
1,75.71875674,8
1,48.97322487,8
1,6.874711008,6
1,68.96352126,8
1,0.806836782,5
1,97.56955203,8
1,57.80529585,8
1,6.703753183,6
1,135.8741351,8
1,1.327245068,2
1,38.93507678,7
1,134.5135457,9
1,190.8203289,7
1,3.310003815,2
1,68.3091583,6
1,40.40121702,7
1,68.44396179,7
1,10.29616705,6
1,28.56419372,9
1,49.77789972,7
1,0,0
1,21.6976238,9
1,225.1434509,9
1,0.346492988,1
1,108.2350391,9
1,17.32850939,5
1,35.35408478,6
1,0,1
2,18.32175226,9
2,66.62595006,9
2,0,0
2,14.25640004,8
2,21.93422967,7
2,57.32661945,8
2,24.6729568,9
2,104.9446565,8
2,16.97391363,9
2,25.63645494,9
2,5.047794282,2
2,69.1655317,8
2,96.82496478,8
2,0,0
2,67.19930552,8
2,93.94028643,8
2,57.80529585,8
2,0.091618197,2
2,1.711062042,6
2,13.30015077,9
2,100.5509752,8
2,0.268018201,2
2,7.390610391,4
2,49.96692928,7
2,3.793977797,6
2,0.072155614,3
2,0.093283061,5
2,83.90512256,9
2,25.40413569,8
2,137.6717093,9
2,42.16330199,8
2,3.703202676,4
2,134.5135457,9
2,209.3206773,7
2,2.360345456,2
2,54.82858567,6
2,44.7153375,7
2,61.61939949,7
2,3.720627636,6
2,0,0
2,28.56419372,9
2,55.64103394,7
2,0.306373019,2
2,227.5918299,9
2,0.59417513,1
2,0.574511101,2
2,125.6234658,9
2,33.65888151,6
3,18.7161425,9
3,72.31691676,9
3,10.84632381,8
3,15.28859797,7
3,59.71838135,8
3,0.555033558,1
3,27.25825675,9
3,100.9075971,8
3,19.54050669,9
3,30.43219832,9
3,69.11183932,8
3,99.64835638,8
3,63.65674808,8
3,84.913524,8
3,57.80529585,8
3,15.68049427,9
3,106.8640255,8
3,46.63930676,7
3,0,0
3,84.22250965,9
3,28.05541431,8
3,137.6717093,9
3,43.49625718,8
3,33.61175783,8
3,3.627907557,6
3,118.3203669,9
3,209.5451046,7
3,55.54324339,6
3,44.86085182,7
3,70.84641396,7
3,28.56419372,9
3,2.781594701,4
3,55.96830268,7
3,0,0
3,227.5918299,9
3,125.6234658,9
3,31.44576396,6
4,18.7161425,9
4,72.31691676,9
4,1.384329386,3
4,10.84632381,8
4,23.05141668,7
4,59.71838135,8
4,23.1052686,9
4,105.6550848,8
4,19.54050669,9
4,46.11269259,9
4,66.31867069,8
4,94.06196877,8
4,13.70206745,4
4,60.05481972,8
4,80.70630206,8
4,57.80529585,8
4,5.805397316,7
4,31.84717118,7
4,103.5057351,8
4,50.20905457,7
4,0.702927138,3
4,89.54015599,9
4,22.9069239,8
4,137.4067352,9
4,45.64462537,8
4,1.966653304,5
4,128.106388,7
4,6.211230165,4
4,39.84991941,6
4,44.31022355,7
4,186.7013572,7
4,25.02421777,9
4,60.77456679,7
5,18.72557177,9
5,71.84303242,9
5,1.371836171,3
5,0,0
5,0.031988165,1
5,14.55759946,8
5,31.74884096,7
5,37.78708221,8
5,8.736539102,6
5,7.518325067,9
5,27.25825675,9
5,98.23343336,8
5,4.731403565,3
5,0,0
5,12.02218162,9
5,46.11269259,9
5,0.713279105,2
5,71.19433696,8
5,95.51469963,8
5,57.31466725,8
5,101.7399199,8
5,54.81017593,8
5,14.63276601,7
5,125.4289721,8
5,44.158465,7
5,21.74470333,9
5,0.518129155,2
5,73.26808341,9
5,23.13424584,8
5,0,6
5,106.3944761,9
5,28.02384337,8
5,57.00634145,8
5,119.1534324,7
5,3.845573143,4
5,0.972743666,5
5,62.4150178,6
5,32.47705322,7
5,186.7013572,7
5,227.5918299,9
5,0.157961446,3
5,26.53176793,7
5,107.8797971,9
5,4.956162227,6
5,17.21653706,6
5,33.19355168,8
5,0.506623902,2
6,18.73403415,9
6,60.11769057,9
6,1.22385007,5
6,13.82777569,8
6,39.05906472,7
6,51.95074561,8
6,24.57532634,9
6,106.0129161,8
6,0,0
6,19.54050669,9
6,0,0
6,46.11269259,9
6,9.040393844,4
6,58.0612502,8
6,97.78592368,8
6,46.95317219,8
6,115.6307367,8
6,57.80529585,8
6,4.943145396,5
6,110.0778249,8
6,52.92749839,7
6,4.066408727,3
6,124.4737691,9
6,47.87739087,8
6,0.596206758,2
6,0.391941977,1
6,134.5135457,9
6,12.49403058,4
6,192.7901274,7
6,61.88007474,6
6,50.0454306,7
6,59.83391759,7
6,0,0
6,26.36126359,9
6,59.73464227,7
6,227.5918299,9
6,3.504649256,2
